2011-04-01 00:50: Course:1,417100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 00:51: Course:1,417100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 00:52: Course:1,417100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 00:53: Course:1,417100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 00:55: Course:1,417100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 00:56: Course:1,417200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 00:58: Course:1,417100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 00:59: Course:1,417000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:01: Course:1,417200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:02: Course:1,417200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:03: Course:1,417300 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:04: Course:1,417100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:05: Course:1,417100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:06: Course:1,417000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:07: Course:1,417100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:08: Course:1,417100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:09: Course:1,417300 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:10: Course:1,417200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:12: Course:1,417200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:13: Course:1,417200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:14: Course:1,417200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:15: Course:1,417400 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:16: Course:1,417400 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:17: Course:1,417200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:18: Course:1,417200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:19: Course:1,417300 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:20: Course:1,417400 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:21: Course:1,417500 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:22: Course:1,417300 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:23: Course:1,417300 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:24: Course:1,417200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:25: Course:1,417100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:26: Course:1,417000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:27: Course:1,417000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:28: Course:1,417000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:29: Course:1,416900 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:30: Course:1,417000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:31: Course:1,416900 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:32: Course:1,416700 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:33: Course:1,416700 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:34: Course:1,416700 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:35: Course:1,416600 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:36: Course:1,416700 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:37: Course:1,416600 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:38: Course:1,416700 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:39: Course:1,416800 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:40: Course:1,416700 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:42: Course:1,416600 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:44: Course:1,416800 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:45: Course:1,417000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:46: Course:1,417000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:47: Course:1,417100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:48: Course:1,417100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:49: Course:1,417000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:50: Course:1,417100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:51: Course:1,417000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:53: Course:1,417000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:54: Course:1,417000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:55: Course:1,417100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:56: Course:1,417000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:57: Course:1,417100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:58: Course:1,417100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 01:59: Course:1,417400 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:00: Course:1,417400 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:01: Course:1,417200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:02: Course:1,417300 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:03: Course:1,417400 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:04: Course:1,417500 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:05: Course:1,417400 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:06: Course:1,417300 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:07: Course:1,417400 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:08: Course:1,417300 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:09: Course:1,417000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:10: Course:1,417300 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:11: Course:1,417400 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:12: Course:1,417600 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:13: Course:1,417600 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:14: Course:1,417500 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:15: Course:1,417500 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:16: Course:1,417300 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:17: Course:1,417500 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:18: Course:1,417400 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:20: Course:1,417400 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:21: Course:1,416800 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:22: Course:1,416800 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:23: Course:1,416700 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:25: Course:1,416300 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:26: Course:1,416400 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:27: Course:1,416700 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:28: Course:1,416800 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:29: Course:1,417000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
